modelName,accuracy,precision,recall,f1-score,parameters_number (M),execution_time (min)
ResNet50,0.8854166666666666,0.8870255650551327,0.8854166666666666,0.8844628886922216,49.3,43.2
NASNetLarge,0.8854166666666666,0.8893892914360846,0.8854166666666666,0.8844219679817389,209.8,162.27
InceptionResNetV2,0.875,0.8773798817430651,0.875,0.873648239508343,79.5,90.51
DenseNet201,0.8697916666666666,0.8722439775906313,0.8697916666666666,0.86896747402684,42.4,57.77
Xception,0.8697916666666666,0.8691201291144375,0.8697916666666666,0.868050361458951,73.3,80.41
InceptionV3,0.8671875,0.8715814292900718,0.8671875,0.8658131665198191,55.4,58.98
DenseNet121,0.8645833333333334,0.8660381227565406,0.8645833333333334,0.8643390139126409,19.9,47.98
MobileNet,0.859375,0.8604790610118127,0.859375,0.8587512732367893,16.1,42.58
VGG16,0.8307291666666666,0.8347434968936326,0.8307291666666666,0.8303476805619509,21.1,44.39
NASNetMobile,0.8255208333333334,0.8255671314586914,0.8255208333333334,0.8241276404896274,17.5,45.74
VGG19,0.8229166666666666,0.8263529235196643,0.8229166666666666,0.8222471456907728,26.4,52.07
